type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,778e0334a4da156e012f66b2905ae45f5dbe3b92,42.0,493.0,760.0,1253.0,-4.0,123.0,53.976.190.476.190.400
other,2595a481199d0a56c750aa11cdb5fbe41445131b,2.0,31.0,19.0,50.0,0.0,7.0,139.0
other,48e108000b441aa3deae26fad3143552ca16b324,1.0,0.0,2.0,2.0,0.0,1.0,54.0
other,aeda2cb34780f7bef7e4ab624ad37aa6e7b9df03,1.0,2.0,7.0,9.0,0.0,1.0,54.0
other,b4fef0f1bc57695478c8959a68790fd4f64c3248,2.0,3.0,13.0,16.0,0.0,7.0,70.0
other,233ae4b42381b734f651117b48171d123c3f16b5,1.0,33.0,27.0,60.0,1.0,17.0,54.0
other,ea957f6059ae1b3e50da86e2c42a1ab6d300d8b6,2.0,1.0,3.0,4.0,0.0,2.0,70.0
other,ac153f5231aada6ec3052f373a319caed2c752b9,1.0,2.0,2.0,4.0,0.0,2.0,75.0
other,4806607e9281b6fd36d21aa4a9e47afbc14bf119,1.0,48.0,0.0,48.0,0.0,24.0,53.0
other,5f4a2642c0b434b258771a87eebffb7c70c91ddd,14.0,26.0,77.0,103.0,-1.0,21.0,60.214.285.714.285.700
other,744a92e5a98f983ec0670182337a2cc4b237211e,1.0,19.0,27.0,46.0,0.0,1.0,176.0
other,03981be75f11c8beaa2dd3914199be3cf86cfa74,8.0,47.0,75.0,122.0,-2.0,22.0,53.125
other,9b9e5bd38d1cd6855cb1b53b1def6d8e668a6f32,4.0,10.0,11.0,21.0,0.0,4.0,36.75
other,23958c1689d9c111b8cb03505d9493fd35fab7b8,1.0,23.0,22.0,45.0,0.0,2.0,7.0
other,0dc50f11122d9e1a5f6546a2159ecb46e07727c3,67.0,218.0,237.0,455.0,-1.0,110.0,6.691.044.776.119.400
other,52e251836aba2572f32a0aa1de948b4aafdbcd42,34.0,116.0,132.0,248.0,0.0,76.0,6.955.882.352.941.170
other,bdc7681b3ba16ae311d2dd21160d61315e8942ca,6.0,53.0,223.0,276.0,-10.0,23.0,21.333.333.333.333.300
other,fee3e530adcfd94c3e7d3b158b29b8c418c0b625,7.0,36.0,73.0,109.0,0.0,1.0,4.957.142.857.142.850
other,3fb74a60a0a57baa019e0f790052c5bfa1af5551,1.0,12.0,5.0,17.0,0.0,0.0,107.0
other,4ba15c8c3abb5baacc742fff14db1d647cad43a9,1.0,19.0,0.0,19.0,1.0,1.0,74.0
other,5b7e16afb5533befa27870d8460d02045c06f776,1.0,18.0,8.0,26.0,0.0,0.0,24.0
other,8da92ebf9941715d88b58ff1e6011474bc8b400d,1.0,4.0,0.0,4.0,1.0,1.0,173.0
other,78a52d05c3f08d948d3fbd79b34e060d861f5e90,1.0,1.0,1.0,2.0,0.0,0.0,36.0
other,c6823178c13b4b431c0735b05e5fcb5860f05440,2.0,114.0,5.0,119.0,4.0,5.0,171.0
other,0685dfaa7ff71a8f16b1b71f417b08eff13ec55f,2.0,33.0,13.0,46.0,0.0,2.0,33.0
other,7e53755666ae2cbf125c79e106739caa3cd298ac,1.0,3.0,0.0,3.0,0.0,1.0,79.0
